[11-Feb-2021 11:31:02 UTC] PHP Warning:  mysqli_real_connect(): (HY000/1045): Access denied for user ' opetitcoin'@'localhost' (using password: YES) in /var/www/html/Apotheose/OpetitCoin/project-site-de-notation/backend/wordpress/wp/wp-includes/wp-db.php on line 1653
[15-Feb-2021 18:43:24 UTC] PHP   3. require_once() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-blog-header.php:13
[15-Feb-2021 18:43:24 UTC] PHP   4. require_once() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-load.php:42
[15-Feb-2021 18:43:24 UTC] PHP   5. require_once() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp-config.php:128
[15-Feb-2021 18:43:24 UTC] PHP   6. include_once() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-settings.php:388
[15-Feb-2021 18:43:24 UTC] PHP Fatal error:  require(): Failed opening required '/var/www/html/apotheose/project-site-de-notation/backend/wordpress/content/plugins/opetitcoin/vendor/autoload.php' (include_path='.:/usr/share/php') in /var/www/html/apotheose/project-site-de-notation/backend/wordpress/content/plugins/opetitcoin/opetitcoin.php on line 13
[15-Feb-2021 18:43:24 UTC] PHP Stack trace:
[15-Feb-2021 18:43:24 UTC] PHP   1. {main}() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/index.php:0
[15-Feb-2021 18:43:24 UTC] PHP   2. require() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/index.php:17
[15-Feb-2021 18:43:24 UTC] PHP   3. require_once() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-blog-header.php:13
[15-Feb-2021 18:43:24 UTC] PHP   4. require_once() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-load.php:42
[15-Feb-2021 18:43:24 UTC] PHP   5. require_once() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp-config.php:128
[15-Feb-2021 18:43:24 UTC] PHP   6. include_once() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-settings.php:388
[16-Feb-2021 08:10:05 UTC] PHP Notice:  Trying to get property 'comment_status' of non-object in /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/comment-template.php on line 1244
[16-Feb-2021 08:10:05 UTC] PHP Stack trace:
[16-Feb-2021 08:10:05 UTC] PHP   1. {main}() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-comments-post.php:0
[16-Feb-2021 08:10:05 UTC] PHP   2. wp_handle_comment_submission() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-comments-post.php:25
[16-Feb-2021 08:10:05 UTC] PHP   3. wp_new_comment() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/comment.php:3560
[16-Feb-2021 08:10:05 UTC] PHP   4. do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/comment.php:2279
[16-Feb-2021 08:10:05 UTC] PHP   5. WP_Hook->do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/plugin.php:484
[16-Feb-2021 08:10:05 UTC] PHP   6. WP_Hook->apply_filters() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:311
[16-Feb-2021 08:10:05 UTC] PHP   7. OpetitCoin\Rest\Comments::get_score() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:289
[16-Feb-2021 08:10:05 UTC] PHP   8. OpetitCoin\Rest\Comments::commentFields() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/content/plugins/opetitcoin/Rest/Comments.php:10
[16-Feb-2021 08:10:05 UTC] PHP   9. comment_form() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/content/plugins/opetitcoin/Rest/Comments.php:29
[16-Feb-2021 08:10:05 UTC] PHP  10. comments_open() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/comment-template.php:2327
[16-Feb-2021 08:10:05 UTC] PHP Notice:  Undefined index: Score in /var/www/html/apotheose/project-site-de-notation/backend/wordpress/content/plugins/opetitcoin/Rest/Comments.php on line 11
[16-Feb-2021 08:10:05 UTC] PHP Stack trace:
[16-Feb-2021 08:10:05 UTC] PHP   1. {main}() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-comments-post.php:0
[16-Feb-2021 08:10:05 UTC] PHP   2. wp_handle_comment_submission() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-comments-post.php:25
[16-Feb-2021 08:10:05 UTC] PHP   3. wp_new_comment() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/comment.php:3560
[16-Feb-2021 08:10:05 UTC] PHP   4. do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/comment.php:2279
[16-Feb-2021 08:10:05 UTC] PHP   5. WP_Hook->do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/plugin.php:484
[16-Feb-2021 08:10:05 UTC] PHP   6. WP_Hook->apply_filters() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:311
[16-Feb-2021 08:10:05 UTC] PHP   7. OpetitCoin\Rest\Comments::get_score() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:289
[16-Feb-2021 08:13:03 UTC] PHP Notice:  Trying to get property 'comment_status' of non-object in /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/comment-template.php on line 1244
[16-Feb-2021 08:13:03 UTC] PHP Stack trace:
[16-Feb-2021 08:13:03 UTC] PHP   1. {main}() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-comments-post.php:0
[16-Feb-2021 08:13:03 UTC] PHP   2. wp_handle_comment_submission() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-comments-post.php:25
[16-Feb-2021 08:13:03 UTC] PHP   3. wp_new_comment() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/comment.php:3560
[16-Feb-2021 08:13:03 UTC] PHP   4. do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/comment.php:2279
[16-Feb-2021 08:13:03 UTC] PHP   5. WP_Hook->do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/plugin.php:484
[16-Feb-2021 08:13:03 UTC] PHP   6. WP_Hook->apply_filters() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:311
[16-Feb-2021 08:13:03 UTC] PHP   7. OpetitCoin\Rest\Comments::get_score() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:289
[16-Feb-2021 08:13:03 UTC] PHP   8. OpetitCoin\Rest\Comments::commentFields() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/content/plugins/opetitcoin/Rest/Comments.php:10
[16-Feb-2021 08:13:03 UTC] PHP   9. comment_form() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/content/plugins/opetitcoin/Rest/Comments.php:30
[16-Feb-2021 08:13:03 UTC] PHP  10. comments_open() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/comment-template.php:2327
[16-Feb-2021 08:13:03 UTC] PHP Notice:  Trying to get property 'comment_status' of non-object in /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/comment-template.php on line 1244
[16-Feb-2021 08:13:03 UTC] PHP Stack trace:
[16-Feb-2021 08:13:03 UTC] PHP   1. {main}() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-comments-post.php:0
[16-Feb-2021 08:13:03 UTC] PHP   2. wp_handle_comment_submission() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-comments-post.php:25
[16-Feb-2021 08:13:03 UTC] PHP   3. wp_new_comment() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/comment.php:3560
[16-Feb-2021 08:13:03 UTC] PHP   4. do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/comment.php:2279
[16-Feb-2021 08:13:03 UTC] PHP   5. WP_Hook->do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/plugin.php:484
[16-Feb-2021 08:13:03 UTC] PHP   6. WP_Hook->apply_filters() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:311
[16-Feb-2021 08:13:03 UTC] PHP   7. OpetitCoin\Rest\Comments::get_score() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:289
[16-Feb-2021 08:13:03 UTC] PHP   8. OpetitCoin\Rest\Comments::commentFields() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/content/plugins/opetitcoin/Rest/Comments.php:11
[16-Feb-2021 08:13:03 UTC] PHP   9. comment_form() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/content/plugins/opetitcoin/Rest/Comments.php:30
[16-Feb-2021 08:13:03 UTC] PHP  10. comments_open() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/comment-template.php:2327
[16-Feb-2021 08:13:03 UTC] PHP Notice:  Undefined index: Score in /var/www/html/apotheose/project-site-de-notation/backend/wordpress/content/plugins/opetitcoin/Rest/Comments.php on line 12
[16-Feb-2021 08:13:03 UTC] PHP Stack trace:
[16-Feb-2021 08:13:03 UTC] PHP   1. {main}() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-comments-post.php:0
[16-Feb-2021 08:13:03 UTC] PHP   2. wp_handle_comment_submission() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-comments-post.php:25
[16-Feb-2021 08:13:03 UTC] PHP   3. wp_new_comment() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/comment.php:3560
[16-Feb-2021 08:13:03 UTC] PHP   4. do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/comment.php:2279
[16-Feb-2021 08:13:03 UTC] PHP   5. WP_Hook->do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/plugin.php:484
[16-Feb-2021 08:13:03 UTC] PHP   6. WP_Hook->apply_filters() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:311
[16-Feb-2021 08:13:03 UTC] PHP   7. OpetitCoin\Rest\Comments::get_score() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:289
[16-Feb-2021 10:18:26 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, class 'OpetitCoin\Rest\RestFields' does not have a method 'registerMetaFieldsAvis' in /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php on line 287
[16-Feb-2021 10:18:26 UTC] PHP Stack trace:
[16-Feb-2021 10:18:26 UTC] PHP   1. {main}() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/index.php:0
[16-Feb-2021 10:18:26 UTC] PHP   2. require() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/index.php:17
[16-Feb-2021 10:18:26 UTC] PHP   3. wp() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-blog-header.php:16
[16-Feb-2021 10:18:26 UTC] PHP   4. WP->main() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/functions.php:1291
[16-Feb-2021 10:18:26 UTC] PHP   5. WP->parse_request() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp.php:745
[16-Feb-2021 10:18:26 UTC] PHP   6. do_action_ref_array() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp.php:388
[16-Feb-2021 10:18:26 UTC] PHP   7. WP_Hook->do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/plugin.php:551
[16-Feb-2021 10:18:26 UTC] PHP   8. WP_Hook->apply_filters() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:311
[16-Feb-2021 10:18:26 UTC] PHP   9. rest_api_loaded() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:287
[16-Feb-2021 10:18:26 UTC] PHP  10. rest_get_server() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/rest-api.php:347
[16-Feb-2021 10:18:26 UTC] PHP  11. do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/rest-api.php:521
[16-Feb-2021 10:18:26 UTC] PHP  12. WP_Hook->do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/plugin.php:484
[16-Feb-2021 10:18:26 UTC] PHP  13. WP_Hook->apply_filters() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:311
[16-Feb-2021 10:24:13 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, class 'OpetitCoin\Rest\RestFields' does not have a method 'registerMetaFieldsAvis' in /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php on line 287
[16-Feb-2021 10:24:13 UTC] PHP Stack trace:
[16-Feb-2021 10:24:13 UTC] PHP   1. {main}() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/index.php:0
[16-Feb-2021 10:24:13 UTC] PHP   2. require() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/index.php:17
[16-Feb-2021 10:24:13 UTC] PHP   3. wp() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-blog-header.php:16
[16-Feb-2021 10:24:13 UTC] PHP   4. WP->main() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/functions.php:1291
[16-Feb-2021 10:24:13 UTC] PHP   5. WP->parse_request() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp.php:745
[16-Feb-2021 10:24:13 UTC] PHP   6. do_action_ref_array() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp.php:388
[16-Feb-2021 10:24:13 UTC] PHP   7. WP_Hook->do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/plugin.php:551
[16-Feb-2021 10:24:13 UTC] PHP   8. WP_Hook->apply_filters() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:311
[16-Feb-2021 10:24:13 UTC] PHP   9. rest_api_loaded() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:287
[16-Feb-2021 10:24:13 UTC] PHP  10. rest_get_server() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/rest-api.php:347
[16-Feb-2021 10:24:13 UTC] PHP  11. do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/rest-api.php:521
[16-Feb-2021 10:24:13 UTC] PHP  12. WP_Hook->do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/plugin.php:484
[16-Feb-2021 10:24:13 UTC] PHP  13. WP_Hook->apply_filters() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:311
[16-Feb-2021 10:24:13 UTC] PHP Notice:  Undefined index: score in /var/www/html/apotheose/project-site-de-notation/backend/wordpress/content/plugins/opetitcoin/Rest/RestFields.php on line 64
[16-Feb-2021 10:24:13 UTC] PHP Stack trace:
[16-Feb-2021 10:24:13 UTC] PHP   1. {main}() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/index.php:0
[16-Feb-2021 10:24:13 UTC] PHP   2. require() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/index.php:17
[16-Feb-2021 10:24:13 UTC] PHP   3. wp() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-blog-header.php:16
[16-Feb-2021 10:24:13 UTC] PHP   4. WP->main() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/functions.php:1291
[16-Feb-2021 10:24:13 UTC] PHP   5. WP->parse_request() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp.php:745
[16-Feb-2021 10:24:13 UTC] PHP   6. do_action_ref_array() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp.php:388
[16-Feb-2021 10:24:13 UTC] PHP   7. WP_Hook->do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/plugin.php:551
[16-Feb-2021 10:24:13 UTC] PHP   8. WP_Hook->apply_filters() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:311
[16-Feb-2021 10:24:13 UTC] PHP   9. rest_api_loaded() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:287
[16-Feb-2021 10:24:13 UTC] PHP  10. rest_get_server() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/rest-api.php:347
[16-Feb-2021 10:24:13 UTC] PHP  11. do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/rest-api.php:521
[16-Feb-2021 10:24:13 UTC] PHP  12. WP_Hook->do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/plugin.php:484
[16-Feb-2021 10:24:13 UTC] PHP  13. WP_Hook->apply_filters() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:311
[16-Feb-2021 10:24:13 UTC] PHP  14. OpetitCoin\Rest\RestFields::registerFeaturedMediaScoreField() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:287
[16-Feb-2021 10:24:13 UTC] PHP Warning:  Illegal offset type in /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/rest-api.php on line 151
[16-Feb-2021 10:24:13 UTC] PHP Stack trace:
[16-Feb-2021 10:24:13 UTC] PHP   1. {main}() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/index.php:0
[16-Feb-2021 10:24:13 UTC] PHP   2. require() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/index.php:17
[16-Feb-2021 10:24:13 UTC] PHP   3. wp() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-blog-header.php:16
[16-Feb-2021 10:24:13 UTC] PHP   4. WP->main() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/functions.php:1291
[16-Feb-2021 10:24:13 UTC] PHP   5. WP->parse_request() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp.php:745
[16-Feb-2021 10:24:13 UTC] PHP   6. do_action_ref_array() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp.php:388
[16-Feb-2021 10:24:13 UTC] PHP   7. WP_Hook->do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/plugin.php:551
[16-Feb-2021 10:24:13 UTC] PHP   8. WP_Hook->apply_filters() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:311
[16-Feb-2021 10:24:13 UTC] PHP   9. rest_api_loaded() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:287
[16-Feb-2021 10:24:13 UTC] PHP  10. rest_get_server() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/rest-api.php:347
[16-Feb-2021 10:24:13 UTC] PHP  11. do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/rest-api.php:521
[16-Feb-2021 10:24:13 UTC] PHP  12. WP_Hook->do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/plugin.php:484
[16-Feb-2021 10:24:13 UTC] PHP  13. WP_Hook->apply_filters() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:311
[16-Feb-2021 10:24:13 UTC] PHP  14. OpetitCoin\Rest\RestFields::registerFeaturedMediaScoreField() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:287
[16-Feb-2021 10:24:13 UTC] PHP  15. register_rest_field() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/content/plugins/opetitcoin/Rest/RestFields.php:67
[16-Feb-2021 10:25:16 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, class 'OpetitCoin\Rest\RestFields' does not have a method 'registerMetaFieldsAvis' in /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php on line 287
[16-Feb-2021 10:25:16 UTC] PHP Stack trace:
[16-Feb-2021 10:25:16 UTC] PHP   1. {main}() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/index.php:0
[16-Feb-2021 10:25:16 UTC] PHP   2. require() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/index.php:17
[16-Feb-2021 10:25:16 UTC] PHP   3. wp() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-blog-header.php:16
[16-Feb-2021 10:25:16 UTC] PHP   4. WP->main() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/functions.php:1291
[16-Feb-2021 10:25:16 UTC] PHP   5. WP->parse_request() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp.php:745
[16-Feb-2021 10:25:16 UTC] PHP   6. do_action_ref_array() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp.php:388
[16-Feb-2021 10:25:16 UTC] PHP   7. WP_Hook->do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/plugin.php:551
[16-Feb-2021 10:25:16 UTC] PHP   8. WP_Hook->apply_filters() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:311
[16-Feb-2021 10:25:16 UTC] PHP   9. rest_api_loaded() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:287
[16-Feb-2021 10:25:16 UTC] PHP  10. rest_get_server() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/rest-api.php:347
[16-Feb-2021 10:25:16 UTC] PHP  11. do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/rest-api.php:521
[16-Feb-2021 10:25:16 UTC] PHP  12. WP_Hook->do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/plugin.php:484
[16-Feb-2021 10:25:16 UTC] PHP  13. WP_Hook->apply_filters() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:311
[16-Feb-2021 10:25:16 UTC] PHP Notice:  Undefined index: score in /var/www/html/apotheose/project-site-de-notation/backend/wordpress/content/plugins/opetitcoin/Rest/RestFields.php on line 64
[16-Feb-2021 10:25:16 UTC] PHP Stack trace:
[16-Feb-2021 10:25:16 UTC] PHP   1. {main}() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/index.php:0
[16-Feb-2021 10:25:16 UTC] PHP   2. require() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/index.php:17
[16-Feb-2021 10:25:16 UTC] PHP   3. wp() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-blog-header.php:16
[16-Feb-2021 10:25:16 UTC] PHP   4. WP->main() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/functions.php:1291
[16-Feb-2021 10:25:16 UTC] PHP   5. WP->parse_request() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp.php:745
[16-Feb-2021 10:25:16 UTC] PHP   6. do_action_ref_array() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp.php:388
[16-Feb-2021 10:25:16 UTC] PHP   7. WP_Hook->do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/plugin.php:551
[16-Feb-2021 10:25:16 UTC] PHP   8. WP_Hook->apply_filters() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:311
[16-Feb-2021 10:25:16 UTC] PHP   9. rest_api_loaded() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:287
[16-Feb-2021 10:25:16 UTC] PHP  10. rest_get_server() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/rest-api.php:347
[16-Feb-2021 10:25:16 UTC] PHP  11. do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/rest-api.php:521
